,c6913,c6631,c6630,c6628,c7124,c7120,c7119,c7121,c7122,c7123,c7116
2017-07-16 15:30:00,67.0,69.5,68.0,65.5,60.75,62.75,65.0,66.75,64.5,65.75,64.5
2017-07-16 15:35:00,66.75,69.25,67.25,65.5,60.0,62.25,64.25,65.75,63.5,64.75,64.25
2017-07-16 15:40:00,67.25,69.6,67.2,64.8,60.75,63.25,64.75,67.5,64.5,66.0,65.0
2017-07-16 15:45:00,67.0,69.5,67.5,65.5,60.75,62.5,64.75,67.25,64.25,65.75,65.25
2017-07-16 15:50:00,66.5,70.5,68.25,65.5,60.75,62.5,65.0,66.75,64.25,65.5,65.25
2017-07-16 15:55:00,66.0,68.75,67.5,65.5,60.6,62.4,65.4,66.8,64.6,66.0,65.2
2017-07-16 16:00:00,67.5,69.0,68.5,65.75,60.5,62.5,65.5,67.0,64.5,65.5,65.5
2017-07-16 16:05:00,67.0,69.75,67.25,65.75,60.25,62.0,64.75,66.25,64.0,65.75,64.75
2017-07-16 16:10:00,66.75,70.5,68.25,66.5,60.75,62.75,65.0,66.75,64.75,65.75,65.25
2017-07-16 16:15:00,67.0,69.75,67.75,65.5,60.25,62.75,64.75,67.0,64.75,65.5,65.5
2017-07-16 16:20:00,66.5,70.0,68.5,65.5,60.0,62.5,65.5,67.25,64.25,65.75,66.0
2017-07-16 16:25:00,67.4,69.4,67.6,65.4,60.25,62.0,64.75,66.75,64.25,65.5,65.0
2017-07-16 16:30:00,66.25,70.0,68.75,66.0,59.5,61.5,64.0,66.5,63.75,65.25,65.0
2017-07-16 16:35:00,66.75,69.5,67.75,65.5,60.25,62.75,64.6,66.75,64.25,66.0,64.6
2017-07-16 16:40:00,66.25,69.75,67.5,65.25,60.0,62.4,64.5,67.2,64.2,65.6,64.25
2017-07-16 16:45:00,66.75,70.0,68.5,65.5,60.75,62.25,64.5,66.75,64.5,66.0,64.5
2017-07-16 16:50:00,66.25,68.5,68.0,65.25,60.25,62.5,65.0,66.25,63.75,65.75,64.5
2017-07-16 16:55:00,67.0,69.25,68.0,65.75,60.25,62.5,65.0,67.25,64.75,65.75,64.75
2017-07-16 17:00:00,66.25,69.25,68.25,64.75,60.5,62.5,64.75,66.25,64.5,66.0,65.25
2017-07-16 17:05:00,66.5,69.5,67.75,66.0,60.5,63.0,64.5,67.0,64.5,65.5,65.5
2017-07-16 17:10:00,66.25,69.0,67.4,65.8,60.25,62.25,65.0,66.75,64.5,65.75,65.0
2017-07-16 17:15:00,66.6,69.5,68.0,65.75,59.75,61.5,64.5,66.0,63.75,65.25,63.75
2017-07-16 17:20:00,67.0,70.0,67.75,66.0,60.75,62.75,65.25,67.0,65.0,65.5,65.0
2017-07-16 17:25:00,65.5,69.75,68.0,65.25,60.2,62.0,65.0,67.4,64.6,65.6,65.0
2017-07-16 17:30:00,66.25,70.0,68.25,66.0,60.75,62.5,65.0,67.25,65.0,65.5,65.25
2017-07-16 17:35:00,66.25,69.75,68.25,65.25,60.25,62.75,65.0,66.25,64.25,65.5,65.75
2017-07-16 17:40:00,67.0,69.5,67.75,66.0,60.5,62.75,64.75,66.75,64.75,65.75,65.75
2017-07-16 17:45:00,67.75,70.0,67.75,65.75,60.5,62.0,64.75,67.0,64.75,66.0,65.75
2017-07-16 17:50:00,66.25,69.5,68.25,66.25,60.5,62.5,64.75,66.5,64.25,65.5,66.0
2017-07-16 17:55:00,66.5,70.2,67.8,65.8,60.75,63.0,64.75,67.0,64.75,65.5,64.5
2017-07-16 18:00:00,66.4,69.5,67.5,65.5,60.25,61.75,64.5,66.0,64.0,65.5,64.0
2017-07-16 18:05:00,66.25,69.75,67.75,65.75,60.4,62.8,64.8,67.0,64.6,65.8,65.2
2017-07-16 18:10:00,67.0,70.0,68.0,65.5,60.0,62.0,64.25,66.25,64.25,65.5,64.5
2017-07-16 18:15:00,66.0,69.5,68.25,66.5,60.5,62.25,64.75,66.5,64.5,66.0,64.75
2017-07-16 18:20:00,66.25,70.25,68.0,66.5,60.75,61.75,64.75,66.75,64.5,65.5,65.25
2017-07-16 18:25:00,67.0,69.5,67.5,65.25,60.25,62.0,64.5,67.0,64.75,65.0,64.75
2017-07-16 18:30:00,66.75,69.5,68.0,65.0,60.5,62.25,64.75,66.25,64.75,65.0,64.75
2017-07-16 18:35:00,66.25,70.5,68.0,65.5,60.25,62.5,64.75,66.75,64.5,65.25,65.0
2017-07-16 18:40:00,67.0,69.0,67.8,65.6,60.5,62.75,64.75,67.0,65.25,65.5,65.25
2017-07-16 18:45:00,67.0,69.75,68.5,66.0,60.6,62.4,64.6,66.6,65.0,65.6,65.0
2017-07-16 18:50:00,67.0,69.5,68.25,65.5,60.25,62.5,64.25,66.75,65.0,65.75,65.0
2017-07-16 18:55:00,66.75,69.75,68.5,66.25,60.25,62.25,64.5,67.0,64.5,65.75,64.25
2017-07-16 19:00:00,67.0,69.5,67.75,65.5,60.5,62.25,64.75,67.25,64.25,66.0,65.25
2017-07-16 19:05:00,66.5,69.75,68.25,66.0,60.0,62.25,65.25,66.5,64.75,65.5,66.0
2017-07-16 19:10:00,67.4,69.6,67.8,65.8,60.5,62.25,64.75,67.5,64.75,66.0,65.5
2017-07-16 19:15:00,66.75,70.25,69.0,66.5,60.75,62.75,65.0,67.0,64.75,66.0,65.25
2017-07-16 19:20:00,67.5,69.75,68.0,66.0,60.4,62.0,65.0,66.6,64.4,65.8,65.2
2017-07-16 19:25:00,67.0,69.25,68.0,66.0,60.5,63.0,65.25,67.75,65.0,66.0,65.75
2017-07-16 19:30:00,66.75,69.75,67.5,66.25,60.25,62.25,64.75,66.75,64.5,66.0,65.25
2017-07-16 19:35:00,66.5,68.75,67.5,66.25,60.5,62.5,64.75,66.25,65.25,66.0,65.25
2017-07-16 19:40:00,66.75,69.25,67.0,66.5,60.25,62.5,64.25,66.25,64.5,65.75,64.75
2017-07-16 19:45:00,67.0,69.75,68.5,66.5,60.0,62.0,64.5,66.25,65.25,65.5,65.0
2017-07-16 19:50:00,66.75,69.5,67.75,66.0,60.75,62.5,64.5,67.75,64.75,65.25,65.25
2017-07-16 19:55:00,66.2,70.6,68.4,66.0,60.75,62.25,64.75,66.5,64.25,65.75,66.0
2017-07-16 20:00:00,66.25,68.75,66.75,66.0,60.25,62.5,64.75,67.0,64.5,65.0,64.75
2017-07-16 20:05:00,66.5,70.0,68.5,65.5,60.6,62.2,64.4,66.2,64.4,65.2,65.4
2017-07-16 20:10:00,66.5,69.75,67.5,65.25,60.5,62.0,65.0,66.0,64.25,65.5,63.75
2017-07-16 20:15:00,66.0,69.0,68.0,65.5,60.5,62.5,64.75,67.25,64.5,65.75,64.5
2017-07-16 20:20:00,66.75,69.25,68.0,65.75,60.25,62.25,64.5,66.0,64.25,65.5,64.75
2017-07-16 20:25:00,66.25,69.5,67.75,66.75,60.25,62.25,64.25,66.25,64.25,64.75,64.75
2017-07-16 20:30:00,66.25,70.25,67.5,65.75,60.0,62.25,64.75,66.25,64.75,65.5,65.0
2017-07-16 20:35:00,66.5,69.6,68.4,65.8,60.5,63.0,64.75,66.0,64.25,65.0,65.0
2017-07-16 20:40:00,66.4,70.0,69.5,66.25,60.75,62.75,64.75,67.25,64.5,65.0,65.25
2017-07-16 20:45:00,67.25,69.25,68.25,65.5,60.8,63.2,65.0,67.4,64.6,65.2,65.2
2017-07-16 20:50:00,66.5,69.5,67.75,66.75,60.75,62.0,63.75,66.75,64.25,66.0,64.25
2017-07-16 20:55:00,66.5,68.5,68.25,65.5,60.25,61.5,63.5,66.25,63.75,64.75,64.75
2017-07-16 21:00:00,66.0,70.0,68.75,66.25,60.25,62.75,64.5,67.0,64.5,65.75,64.75
2017-07-16 21:05:00,66.25,69.0,67.75,65.25,60.0,62.5,64.0,66.75,63.75,65.5,65.5
2017-07-16 21:10:00,66.5,69.75,68.0,65.5,59.75,62.25,64.0,67.0,64.0,65.5,65.0
2017-07-16 21:15:00,66.5,69.5,68.0,65.75,60.25,62.0,64.0,66.75,64.5,66.0,64.25
2017-07-16 21:20:00,66.75,69.4,68.4,65.0,60.75,62.75,65.0,68.0,64.5,66.0,64.75
2017-07-16 21:25:00,66.0,69.0,68.25,65.25,60.25,62.0,64.75,67.25,64.5,65.5,64.75
2017-07-16 21:30:00,66.0,69.5,68.25,65.5,60.75,62.5,65.0,66.5,64.0,65.75,65.0
2017-07-16 21:35:00,66.25,69.5,69.25,65.75,60.4,62.6,64.8,66.6,64.2,65.8,64.8
2017-07-16 21:40:00,65.25,69.25,68.25,65.5,59.5,61.75,63.75,66.0,63.25,64.75,64.0
2017-07-16 21:45:00,66.25,70.0,68.75,65.5,60.25,62.0,64.5,66.5,64.0,66.0,64.25
2017-07-16 21:50:00,66.0,69.25,67.25,66.25,59.5,61.25,63.5,66.0,63.25,64.5,63.5
2017-07-16 21:55:00,66.5,70.25,68.5,66.25,60.25,62.25,64.25,66.75,64.25,65.5,65.0
2017-07-16 22:00:00,65.75,70.0,68.0,66.0,60.0,62.0,63.75,66.0,64.0,65.0,64.0
2017-07-16 22:05:00,66.4,69.4,67.4,65.0,60.5,62.75,64.75,66.5,64.0,65.75,64.75
2017-07-16 22:10:00,66.25,69.75,68.25,65.25,60.25,62.0,64.0,66.5,64.0,66.0,64.5
2017-07-16 22:15:00,66.5,69.75,68.25,66.0,60.0,62.4,64.2,67.4,63.8,65.8,64.6
2017-07-16 22:20:00,65.5,69.0,67.5,65.75,60.0,61.75,63.5,66.0,63.25,64.5,64.25
2017-07-16 22:25:00,66.25,70.5,69.25,65.75,60.0,62.5,65.0,66.75,64.0,65.25,65.25
2017-07-16 22:30:00,66.0,70.0,68.0,65.0,60.0,62.25,64.5,66.5,64.25,65.25,64.5
2017-07-16 22:35:00,66.5,69.75,68.25,65.0,60.25,62.5,65.0,66.5,64.75,65.25,64.5
2017-07-16 22:40:00,66.5,70.5,69.0,65.75,60.0,62.25,64.75,67.0,64.5,65.0,65.0
2017-07-16 22:45:00,66.0,69.5,68.5,65.5,60.0,61.5,64.5,66.25,63.75,64.75,64.25
2017-07-16 22:50:00,66.8,69.8,68.4,65.8,60.25,61.5,64.5,66.5,64.0,65.0,65.25
2017-07-16 22:55:00,66.0,68.5,68.0,64.5,60.0,62.25,64.25,67.0,64.25,65.25,65.25
2017-07-16 23:00:00,66.5,70.0,68.0,66.25,60.2,62.4,64.0,66.2,64.2,65.0,64.0
2017-07-16 23:05:00,65.0,69.25,67.5,65.0,60.0,61.75,64.5,66.25,63.75,64.5,64.25
2017-07-16 23:10:00,66.5,69.5,68.0,66.0,60.0,62.25,65.0,66.75,64.0,65.25,64.25
2017-07-16 23:15:00,65.75,69.0,68.75,65.25,60.0,62.25,64.25,66.5,64.0,64.75,64.75
2017-07-16 23:20:00,66.0,68.75,67.0,65.0,60.0,62.0,64.25,66.5,63.75,64.75,64.0
2017-07-16 23:25:00,66.5,69.5,68.25,65.5,60.75,62.5,64.5,66.0,63.75,65.0,64.25
2017-07-16 23:30:00,66.25,68.5,67.0,64.75,60.25,61.5,64.5,66.5,63.75,65.0,63.75
2017-07-16 23:35:00,67.25,69.6,68.4,66.2,60.25,61.5,64.25,66.25,63.75,65.75,64.25
2017-07-16 23:40:00,66.6,68.75,67.0,65.0,60.5,62.5,64.5,67.0,64.5,65.5,64.5
2017-07-16 23:45:00,66.75,69.25,68.25,66.0,60.25,62.0,64.0,65.5,64.0,65.5,64.5
2017-07-16 23:50:00,66.5,69.5,68.25,65.75,60.8,61.8,64.8,66.4,64.0,65.6,64.2
2017-07-16 23:55:00,66.75,69.5,68.5,66.25,60.5,62.25,64.5,66.5,64.5,65.75,65.25
2017-07-17 00:00:00,66.75,68.5,68.0,66.75,61.0,62.75,65.0,67.75,64.5,65.5,65.75
2017-07-17 00:05:00,66.0,69.25,67.5,65.25,60.25,61.5,64.0,66.5,63.5,64.75,64.0
2017-07-17 00:10:00,67.0,70.5,69.25,66.25,60.5,61.25,63.75,66.0,63.75,65.5,63.75
2017-07-17 00:15:00,66.0,68.75,68.0,66.5,60.5,62.5,64.5,66.5,63.75,65.0,64.75
2017-07-17 00:20:00,66.25,69.75,68.25,65.25,60.5,61.5,64.25,67.0,63.5,65.5,64.5
2017-07-17 00:25:00,66.0,69.6,68.6,65.2,60.75,62.75,64.5,67.5,64.5,65.25,64.75
2017-07-17 00:30:00,66.0,69.5,68.25,65.75,60.25,62.5,64.0,66.75,63.75,65.25,65.25
2017-07-17 00:35:00,66.25,69.25,68.5,66.0,60.6,61.8,64.2,66.8,63.6,65.2,65.4
2017-07-17 00:40:00,66.5,70.25,68.75,66.0,60.0,61.75,64.5,66.5,63.75,64.75,64.5
2017-07-17 00:45:00,66.75,69.0,68.0,65.25,60.25,62.25,64.25,65.75,64.0,64.5,64.5
2017-07-17 00:50:00,66.25,69.5,69.0,66.0,60.5,62.0,64.75,67.5,64.5,65.0,64.75
2017-07-17 00:55:00,66.5,69.75,69.0,65.75,60.25,62.0,65.0,67.0,64.75,65.75,65.5
2017-07-17 01:00:00,66.0,69.0,67.75,65.25,60.0,62.0,64.5,66.5,63.75,64.5,64.75
2017-07-17 01:05:00,66.75,70.0,68.25,65.75,60.0,61.25,64.25,65.75,63.75,64.75,64.25
2017-07-17 01:10:00,66.2,69.4,68.0,64.6,60.0,62.25,64.75,66.5,64.0,64.5,65.0
2017-07-17 01:15:00,66.5,70.25,69.75,66.0,60.25,62.25,64.25,66.5,63.75,64.75,64.75
2017-07-17 01:20:00,66.25,70.0,68.5,65.25,60.25,62.6,64.8,66.6,63.6,64.8,65.4
2017-07-17 01:25:00,66.5,70.25,68.5,66.0,60.0,62.5,64.75,67.0,64.0,64.75,64.25
2017-07-17 01:30:00,66.5,68.75,67.75,65.0,60.5,62.5,64.5,67.0,63.75,65.0,65.25
2017-07-17 01:35:00,66.75,69.75,68.75,65.25,60.25,62.25,64.75,67.0,64.25,64.75,65.5
2017-07-17 01:40:00,66.5,69.75,69.0,65.25,60.75,62.25,64.5,67.0,63.75,64.75,64.75
2017-07-17 01:45:00,66.5,69.75,68.0,65.0,60.0,62.5,64.25,67.0,64.0,65.0,65.5
2017-07-17 01:50:00,66.5,69.75,68.25,65.25,60.25,62.0,64.75,66.25,64.25,65.25,64.25
2017-07-17 01:55:00,65.8,69.6,69.2,66.0,60.25,62.0,64.0,66.25,64.25,65.25,65.25
2017-07-17 02:00:00,67.0,69.25,68.25,65.25,60.25,62.5,64.5,66.0,64.25,65.5,65.5
2017-07-17 02:05:00,66.75,69.5,68.5,65.0,60.4,61.8,64.6,66.4,64.6,65.0,64.6
2017-07-17 02:10:00,66.5,69.25,68.0,65.0,60.5,62.5,64.25,67.0,64.25,65.0,65.25
2017-07-17 02:15:00,66.25,69.75,68.5,65.75,60.0,61.75,64.5,66.75,63.75,65.25,64.75
2017-07-17 02:20:00,66.5,69.0,67.75,65.0,60.25,62.0,63.75,66.0,63.5,64.5,63.75
2017-07-17 02:25:00,65.5,68.75,67.25,65.0,60.25,62.0,64.25,66.0,64.0,65.0,64.25
2017-07-17 02:30:00,66.0,70.0,69.25,66.0,60.5,62.25,64.5,66.5,64.5,65.25,64.25
2017-07-17 02:35:00,65.8,69.0,68.4,64.8,60.75,62.25,64.75,67.0,65.0,65.25,65.5
2017-07-17 02:40:00,66.5,69.0,68.75,65.75,60.75,62.0,64.75,66.75,64.0,65.25,64.75
2017-07-17 02:45:00,66.5,69.0,68.0,65.25,60.6,62.2,64.6,67.4,64.4,65.6,65.0
2017-07-17 02:50:00,67.5,69.5,68.25,66.75,60.25,61.75,64.25,66.75,64.0,65.25,64.5
2017-07-17 02:55:00,67.0,69.75,67.75,66.0,60.5,61.75,63.75,66.0,63.75,64.75,63.0
2017-07-17 03:00:00,66.75,69.0,68.75,65.75,60.5,62.0,64.25,66.5,64.25,65.25,65.25
2017-07-17 03:05:00,66.75,70.0,68.5,66.5,60.5,61.75,64.25,66.75,63.75,65.5,64.25
2017-07-17 03:10:00,67.0,70.5,69.25,66.25,60.25,62.0,64.0,65.25,63.75,64.5,64.25
2017-07-17 03:15:00,65.75,70.25,69.0,66.25,58.75,61.75,63.0,65.5,62.75,63.5,64.0
2017-07-17 03:20:00,66.2,70.2,68.6,66.8,59.5,61.25,64.0,65.5,63.5,64.0,63.75
2017-07-17 03:25:00,66.25,70.0,68.75,67.5,59.75,62.0,64.0,66.0,63.0,63.75,64.25
2017-07-17 03:30:00,65.75,69.0,68.5,66.5,59.6,61.8,63.8,65.4,63.0,63.8,64.4
2017-07-17 03:35:00,65.5,69.5,68.5,66.0,59.0,62.25,63.75,65.25,63.0,63.5,65.0
2017-07-17 03:40:00,66.0,70.0,69.0,66.5,59.25,61.75,64.25,65.0,63.0,64.0,64.75
2017-07-17 03:45:00,65.5,69.25,68.0,65.75,59.75,62.0,64.5,65.5,63.25,64.0,64.0
2017-07-17 03:50:00,65.75,69.0,68.0,65.75,60.0,62.75,64.75,66.25,63.75,64.75,65.0
2017-07-17 03:55:00,66.25,69.0,68.75,66.5,60.0,62.75,64.25,66.25,63.75,64.25,64.75
2017-07-17 04:00:00,65.75,69.5,68.5,66.5,60.25,62.0,64.0,66.0,63.25,64.0,63.75
2017-07-17 04:05:00,66.0,69.2,68.2,65.8,59.75,61.75,63.5,65.25,63.0,64.25,64.5
2017-07-17 04:10:00,65.0,69.0,68.75,65.75,59.5,61.75,63.75,65.5,63.5,64.25,64.75
2017-07-17 04:15:00,65.75,69.25,69.0,66.25,60.0,62.6,63.8,66.0,63.6,64.0,64.0
2017-07-17 04:20:00,65.5,71.0,68.25,67.0,60.0,61.25,63.75,65.75,63.25,64.0,64.5
2017-07-17 04:25:00,65.5,70.0,68.75,67.0,60.0,61.0,63.25,65.0,62.75,64.25,62.75
2017-07-17 04:30:00,66.25,69.5,68.5,65.75,59.75,61.5,63.75,65.75,63.0,64.0,64.25
2017-07-17 04:35:00,66.25,69.25,68.5,65.75,59.75,61.5,64.0,65.75,63.0,64.75,63.75
2017-07-17 04:40:00,66.75,69.0,67.75,66.0,60.75,63.25,65.75,66.75,64.25,66.0,65.0
2017-07-17 04:45:00,66.0,68.0,68.25,66.0,60.0,62.0,64.75,65.75,63.5,65.0,64.5
2017-07-17 04:50:00,66.6,68.6,68.2,66.2,60.75,62.75,64.75,67.0,64.5,65.25,64.5
2017-07-17 04:55:00,66.25,69.5,68.5,66.25,61.0,62.25,64.75,67.75,64.25,66.0,64.75
2017-07-17 05:00:00,66.75,70.0,68.5,65.5,60.8,62.6,64.8,67.2,64.8,66.0,65.2
2017-07-17 05:05:00,66.75,69.75,69.0,65.25,60.75,62.5,65.0,67.0,64.5,65.75,65.0
2017-07-17 05:10:00,66.5,69.25,68.75,65.75,60.75,62.0,64.25,65.75,63.75,65.0,64.25
2017-07-17 05:15:00,66.75,68.25,68.25,66.0,60.5,62.25,64.5,66.25,64.25,65.5,65.0
2017-07-17 05:20:00,66.75,70.0,69.0,66.25,60.75,62.5,64.75,66.75,63.75,65.5,64.5
2017-07-17 05:25:00,66.5,69.0,68.25,66.25,60.5,62.25,64.75,66.25,64.0,66.0,65.0
2017-07-17 05:30:00,66.25,69.5,69.0,66.75,60.75,62.25,64.75,66.25,64.5,65.75,65.25
2017-07-17 05:35:00,65.25,69.4,68.8,66.8,60.75,61.5,64.25,65.75,63.5,65.25,64.0
2017-07-17 05:40:00,65.6,68.5,68.5,65.5,60.0,61.0,63.5,65.75,63.5,64.5,64.0
2017-07-17 05:45:00,65.75,70.5,69.0,66.75,60.5,61.5,64.5,66.5,64.0,64.75,64.25
2017-07-17 05:50:00,66.25,69.75,68.5,65.75,60.4,62.0,64.6,67.0,64.0,64.8,65.0
2017-07-17 05:55:00,66.75,69.0,67.75,66.75,60.0,61.75,64.5,65.75,64.0,65.0,64.5
2017-07-17 06:00:00,66.0,69.0,67.75,65.75,60.5,62.75,64.75,67.0,64.25,65.25,65.5
2017-07-17 06:05:00,66.25,69.5,67.5,66.5,60.25,62.0,64.25,65.5,63.75,65.0,65.75
2017-07-17 06:10:00,66.4,69.2,68.4,66.2,60.5,63.0,65.0,67.25,64.75,65.75,65.25
2017-07-17 06:15:00,66.0,68.5,67.5,65.75,60.2,62.2,64.8,65.6,63.8,65.0,65.0
2017-07-17 06:20:00,66.75,69.25,68.25,66.75,60.5,62.5,65.0,66.0,64.0,65.75,65.5
2017-07-17 06:25:00,66.5,70.0,69.25,67.25,60.5,62.25,65.0,66.25,63.5,65.0,65.5
2017-07-17 06:30:00,66.0,69.4,69.4,66.0,60.25,62.25,64.5,65.75,63.5,64.75,64.75
2017-07-17 06:35:00,65.75,69.75,69.25,66.75,59.5,61.25,63.75,66.0,62.75,64.25,63.5
2017-07-17 06:40:00,66.5,67.75,66.75,65.5,59.8,61.2,63.8,65.8,63.4,64.4,64.0
2017-07-17 06:45:00,66.25,70.0,68.75,66.25,59.5,60.75,64.0,65.0,63.0,64.0,64.0
2017-07-17 06:50:00,66.75,69.0,68.0,65.5,60.0,61.25,64.25,65.75,63.5,64.0,63.75
2017-07-17 06:55:00,66.25,69.6,68.6,66.0,60.25,61.75,64.25,65.75,63.0,64.25,64.25
2017-07-17 07:00:00,66.6,69.25,68.25,66.75,60.5,62.0,64.75,66.75,64.0,65.75,64.75
2017-07-17 07:05:00,66.0,70.5,68.75,66.25,60.2,61.2,64.2,66.4,63.4,65.0,64.4
2017-07-17 07:10:00,66.25,69.5,69.0,66.0,60.5,61.75,63.75,66.0,63.5,64.75,64.5
2017-07-17 07:15:00,66.5,68.25,68.0,65.5,60.5,62.25,64.5,65.5,64.0,65.25,64.75
2017-07-17 07:20:00,67.0,69.25,68.5,65.25,60.75,62.25,64.5,66.75,63.75,65.5,65.0
2017-07-17 07:25:00,66.25,69.25,67.75,65.25,60.75,62.5,64.75,66.75,64.0,65.25,65.75
2017-07-17 07:30:00,66.5,69.75,68.25,66.25,60.75,62.5,64.75,66.5,64.0,65.75,65.0
2017-07-17 07:35:00,65.8,69.2,68.6,66.4,60.75,62.5,64.75,66.5,64.0,65.5,65.0
2017-07-17 07:40:00,66.5,69.25,68.25,66.5,60.4,62.4,64.8,66.2,63.4,65.6,65.8
2017-07-17 07:45:00,66.0,68.75,67.5,65.25,60.75,62.5,64.75,66.0,63.75,65.5,64.5
2017-07-17 07:50:00,66.25,69.5,67.75,65.5,60.75,63.0,64.75,66.25,64.0,65.5,64.75
2017-07-17 07:55:00,66.75,68.75,67.75,66.0,61.0,63.0,64.75,66.75,64.0,65.5,65.0
2017-07-17 08:00:00,66.5,68.75,67.0,64.75,60.75,63.0,65.0,66.25,64.25,65.0,64.75
2017-07-17 08:05:00,65.8,69.4,68.2,66.0,60.5,61.75,64.0,66.25,63.5,64.75,64.5
2017-07-17 08:10:00,66.0,70.25,69.0,66.75,59.75,61.25,63.25,66.0,63.0,63.5,63.5
2017-07-17 08:15:00,65.25,69.75,68.75,66.5,60.0,61.2,63.8,65.6,62.6,64.8,64.6
2017-07-17 08:20:00,66.0,68.75,67.0,66.0,60.0,61.5,64.0,65.25,62.5,64.75,64.75
2017-07-17 08:25:00,65.75,70.0,68.0,66.5,60.25,61.5,63.25,65.75,62.75,65.0,63.5
2017-07-17 08:30:00,66.0,69.5,68.25,67.0,61.0,62.0,64.5,66.25,62.75,65.25,64.5
2017-07-17 08:35:00,66.0,69.5,67.5,66.5,60.0,61.5,63.75,65.25,62.75,65.0,63.75
2017-07-17 08:40:00,66.25,69.75,68.5,67.5,60.0,61.75,63.75,66.0,62.75,64.75,64.5
2017-07-17 08:45:00,65.5,69.2,67.4,67.2,60.5,62.25,64.0,65.75,63.0,65.0,64.0
2017-07-17 08:50:00,65.8,69.5,68.75,66.5,61.0,62.25,64.0,66.0,63.5,65.5,64.75
2017-07-17 08:55:00,65.75,69.0,67.0,65.75,60.25,61.2,63.4,64.5,62.5,64.75,64.0
2017-07-17 09:00:00,66.75,70.25,70.0,66.75,60.6,61.25,63.5,65.4,63.0,64.4,64.25
2017-07-17 09:05:00,66.5,69.5,68.5,65.75,60.25,60.75,63.5,64.75,62.5,64.5,64.5
2017-07-17 09:10:00,66.0,69.5,68.5,65.75,60.75,62.25,64.25,65.5,63.25,65.5,65.75
2017-07-17 09:15:00,66.75,70.0,68.75,66.0,61.0,62.75,65.0,66.75,64.5,65.5,65.25
2017-07-17 09:20:00,67.25,70.25,68.25,66.75,60.25,62.25,64.5,66.5,63.5,64.5,65.0
2017-07-17 09:25:00,66.4,69.6,68.4,66.2,60.75,62.25,64.75,66.0,63.25,64.25,64.75
2017-07-17 09:30:00,66.0,68.75,66.75,65.75,60.4,62.0,64.2,65.8,63.0,64.4,64.8
2017-07-17 09:35:00,66.66666666666667,70.33333333333333,67.33333333333333,66.0,60.333333333333336,61.333333333333336,63.666666666666664,65.33333333333333,62.666666666666664,64.33333333333333,63.333333333333336
2017-07-17 09:40:00,66.5,69.75,66.75,65.5,60.0,61.333333333333336,64.33333333333333,65.66666666666667,63.333333333333336,65.0,64.0
2017-07-17 09:45:00,66.33333333333333,70.33333333333333,69.66666666666667,67.0,60.25,61.25,63.75,65.75,63.5,65.25,63.75
2017-07-17 09:50:00,66.33333333333333,69.0,68.0,65.66666666666667,60.666666666666664,61.666666666666664,65.0,67.0,64.0,65.0,65.33333333333333
2017-07-17 09:55:00,66.5,69.75,67.75,66.25,59.75,62.0,64.5,66.0,63.5,65.25,63.5
2017-07-17 10:00:00,65.75,70.0,69.0,67.0,60.666666666666664,62.333333333333336,64.33333333333333,67.33333333333333,64.0,65.33333333333333,64.66666666666667
2017-07-17 10:05:00,67.0,69.5,68.5,67.0,60.4,61.8,64.0,66.8,64.0,65.0,64.8
2017-07-17 10:10:00,65.0,68.75,68.0,66.0,59.75,61.75,63.75,65.5,63.5,64.25,64.25
2017-07-17 10:15:00,65.5,69.5,67.5,65.5,60.0,60.75,63.75,65.5,63.0,64.25,64.75
2017-07-17 10:20:00,66.0,69.2,67.6,65.8,60.25,62.0,64.0,66.0,63.75,64.5,64.25
2017-07-17 10:25:00,66.4,69.75,67.5,65.25,60.25,61.5,63.75,66.0,63.5,65.0,63.75
2017-07-17 10:30:00,65.25,69.5,69.0,66.75,60.2,62.0,64.0,66.2,63.8,64.4,64.2
2017-07-17 10:35:00,66.5,69.25,68.0,66.0,60.5,62.25,64.5,66.5,64.0,65.0,64.75
2017-07-17 10:40:00,66.0,69.25,67.75,65.5,60.0,61.25,63.5,65.75,63.25,64.0,64.0
2017-07-17 10:45:00,66.5,69.25,67.0,65.5,60.25,62.0,64.0,66.75,63.75,65.25,63.75
2017-07-17 10:50:00,65.75,69.75,67.25,65.25,60.25,62.0,63.75,66.0,63.75,65.0,64.75
2017-07-17 10:55:00,66.2,69.6,67.4,65.4,60.0,61.75,64.0,66.25,63.25,64.75,63.75
2017-07-17 11:00:00,65.25,69.25,68.0,65.25,60.5,62.25,64.25,66.5,63.25,64.5,64.25
2017-07-17 11:05:00,65.5,69.75,67.25,65.75,59.8,62.0,64.0,66.6,62.8,64.0,63.6
2017-07-17 11:10:00,65.5,68.75,67.75,66.0,60.0,61.0,63.25,65.0,62.25,64.0,62.5
2017-07-17 11:15:00,65.5,69.75,68.75,66.25,60.0,62.25,63.5,65.75,62.5,64.75,63.0
2017-07-17 11:20:00,65.5,70.0,68.0,66.75,59.75,61.25,63.0,65.5,62.25,64.5,62.75
2017-07-17 11:25:00,66.5,69.25,67.75,65.5,59.75,61.0,63.0,64.5,62.0,64.5,63.0
2017-07-17 11:30:00,66.75,68.75,67.25,65.0,60.0,61.75,63.5,65.5,62.75,64.5,64.0
2017-07-17 11:35:00,66.5,68.75,68.0,65.75,60.0,62.0,63.75,65.75,62.75,64.5,63.75
